&: Sora no Mukō de Saki Masuyō ni,Akatsuki Works,"December 26, 2013",Unreleased,Unreleased,,[1]
.detuned,.theprodukkt,"September 17, 2009","October 15, 2009","October 15, 2009",,[2]
.hack//Versus,CyberConnect2,"June 28, 2012",Unreleased,Unreleased,3D,[3]
007 Legends,Eurocom,Unreleased,"October 19, 2012","October 16, 2012",,[4]
007: Quantum of Solace,Treyarch,Unreleased,"October 31, 2008","November 4, 2008",,[5]
1 vs. 100,Destination Software,Unreleased,Unreleased,Unreleased,C,
100-Yen Gomibako,SCEI,"July 16, 2009",Unreleased,Unreleased,,[6]
1942: Joint Strike,Backbone Entertainment,Unreleased,"July 24, 2008","July 24, 2008",,[7]
2010 FIFA World Cup South Africa,EA Canada,"May 13, 2010","April 29, 2010","April 27, 2010",,[8]
2014 FIFA World Cup Brazil,EA Canada,"April 24, 2014","April 17, 2014","April 15, 2014",,[9]
3 on 3 NHL Arcade,EA Canada,"February 12, 2009","February 5, 2009","February 5, 2009",,[citation needed]
3D Dot Game Heroes,Silicon Studio,"November 5, 2009","May 14, 2010","May 11, 2010",,[10]
3D Ultra Minigolf Adventures 2,Wanako Games,Unreleased,"June 29, 2011","November 16, 2010",,[citation needed]
428: Shibuya Scramble,Chunsoft,"September 3, 2009",Unreleased,Unreleased,,[11]
4 Elements,Boolat Games,Unreleased,"August 31, 2011","August 30, 2011",M,[12]
50 Cent: Blood on the Sand,Swordfish Studios,"July 23, 2009","February 20, 2009","February 24, 2009",,[13]
5 Star Wrestling,Serious Parody,Unreleased,"March 18, 2015","March 17, 2015",,[citation needed]
99Vidas,QUByte Interactive,Unreleased,Unreleased,"July 18, 2017",,[citation needed]
A-Men,Bloober Team,Unreleased,"October 17, 2012","March 26, 2013",
A-Men 2,Bloober Team,Unreleased,"November 6, 2013","November 5, 2013",,[citation needed]
A Boy and His Blob,Abstraction Games,Unreleased,"June 28, 2016","June 28, 2016",,[citation needed]
Aabs Animals,Aabs,"December 19, 2013","December 18, 2013","December 17, 2013",,[citation needed]
Aaru's Awakening,Lumenox Games,"August 5, 2015","April 8, 2015","April 7, 2015",,[citation needed]
Absolute Supercars,Eutechnyx,"August 29, 2013","November 6, 2012","November 6, 2012",,[14]
Abyss Odyssey,ACE Team,Unreleased,"July 16, 2014","July 15, 2014",,[citation needed]
Accel World: Ginyoku no Kakusei,Bandai Namco Games,"September 13, 2012",Unreleased,Unreleased,,[15]
Accel World: Kasoku no Chouten,Bandai Namco Games,"January 31, 2013",Unreleased,Unreleased,,[16]
Acceleration of Suguri X Edition,Rockin' Android,Unreleased,"February 16, 2011","February 15, 2011",,[citation needed]
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,Unreleased,"April 19, 2009","November 18, 2008",,[17]
Ace Combat: Assault Horizon,Namco,"October 13, 2011","October 14, 2011","October 11, 2011",,[18]
Ace Combat Infinity,Namco,"May 20, 2014","May 28, 2014","May 27, 2014",F2P,[citation needed]
Action Henk,RageSquid,Unreleased,Unreleased,"January 31, 2013",,[19]
Adidas miCoach,Lightning Fish,Unreleased,"July 24, 2012","July 13, 2012",M,[20]
Adam's Venture Chronicles,Vertigo Games,Unreleased,"February 4, 2014","February 4, 2014",,[21]
The Adventures of Tintin: The Secret of the Unicorn,Ubisoft Montpellier,Unreleased,"October 21, 2011","December 6, 2011",M,[22]
Adventure Time: Explore the Dungeon Because I Don't Know!,WayForward Technologies,Unreleased,"November 14, 2013AUNovember 15, 2013EU","November 19, 2013",,[23]
Adventure Time: Finn & Jake Investigations,Vicious Cycle Software,Unreleased,"November 6, 2015","October 20, 2015",,[24]
Adventure Time: Pirates of the Enchiridion,Outright Games,Unreleased,Unreleased,Unreleased,C,
Adventure Time: The Secret of the Nameless Kingdom,WayForward Technologies,"November 18, 2014","November 18, 2014","November 18, 2014",,[25]
Aegis of Earth: Protonovus Assault,Acquire,"July 2, 2015","April 22, 2016","March 15, 2016",,[26]
Aero-Cross,Bandai Namco,Unreleased,Unreleased,Unreleased,C,[27]
AFL Live,Big Ant Studios,Unreleased,"April 21, 2011AU",Unreleased,,[28]
AFL Live 2,Wicked Witch Software,Unreleased,"September 12, 2013AU",Unreleased,,[29]
Afrika •Hakuna MatataAsia,Rhino Studios,"August 28, 2008",Unreleased,"October 13, 2009",,[30]
Afro Samurai,Namco Bandai,Unreleased,"March 27, 2009","January 27, 2009",,[31]
After Burner Climax,Sega,"April 21, 2010","April 22, 2010","April 22, 2010",,[citation needed]
Afterfall: Insanity,Nicolas Entertainment Group,Unreleased,Unreleased,Unreleased,C,
Age of Booty,Certain Affinity,Unreleased,"November 27, 2008","November 13, 2008",,[32]
The Agency: Covert Ops,SOE Seattle,Unreleased,Unreleased,Unreleased,C,[33]
Agent,Rockstar Games,Unreleased,Unreleased,Unreleased,C,
Air Conflicts: Pacific Carriers,Games Farm,Unreleased,"December 7, 2012","August 6, 2013",M,[34]
Air Conflicts: Secret Wars,Games Farm,Unreleased,"July 8, 2011","November 15, 2011",M,[35]
Air Conflicts: Vietnam,Games Farm,"September 12, 2013","October 18, 2013","November 19, 2013",M,[36]
Akatsuki no Goei Trinity,M2,"September 20, 2012",Unreleased,Unreleased,,[37]
AKB1/149 Ren'ai Sōsenkyo,Namco Bandai Games,"September 12, 2013",Unreleased,Unreleased,,[38]
Akiba's Trip: Undead & Undressed,Acquire / XSEED / NIS America,"November 7, 2013","October 10, 2014","August 12, 2014",,[39]
Akimi Village,NinjaBee,Unreleased,"June 21, 2011","June 14, 2011",,[citation needed]
Alex Kidd in Miracle World,Sega,"May 23, 2012","May 23, 2012","May 22, 2012",,[citation needed]
Alice: Madness Returns,Spicy Horse,"July 21, 2011","June 16, 2011","June 14, 2011",,[40]
Alien Breed,Team17,Unreleased,"February 6, 2013","February 12, 2013",,[citation needed]
Alien Breed 2: Assault,Team17,Unreleased,"December 8, 2010","December 7, 2010",,[citation needed]
Alien Breed 3: Descent,Team17,Unreleased,"February 23, 2011","February 22, 2011",,[citation needed]
Alien Breed: Impact,Team17,Unreleased,"September 1, 2010","October 5, 2010",,[41]
Alien Rage,CI Games,"February 6, 2014","October 23, 2013","October 22, 2013",,[citation needed]
Alien Shooter,Sigma Team,Unreleased,"January 8, 2016","March 8, 2016",,[citation needed]
Alien Spidy,Enigma Software Productions,Unreleased,"May 8, 2013","July 16, 2013",,[citation needed]
Alien Syndrome,Sega,Unreleased,Unreleased,Unreleased,C,
Alien Zombie Mega Death,PomPom Games,Unreleased,"July 6, 2011","June 21, 2011",,[citation needed]
Aliens: Colonial Marines,Gearbox Software,Unreleased,"February 12, 2013","February 12, 2013",,[42]
Alien: Isolation,Creative Assembly,Unreleased,"October 7, 2014","October 7, 2014",,[43]
Aliens vs. Predator,Rebellion Developments,Unreleased,"February 19, 2010","February 16, 2010",,[44]
All-Pro Football 2K8,Visual Concepts,Unreleased,Unreleased,"July 16, 2007",,[45]
All Zombies Must Die!,DoubleSix,Unreleased,"January 4, 2012","December 27, 2011",3D,[citation needed]
Alone in the Dark: Inferno,Eden Studios,"December 25, 2008","November 21, 2008","November 18, 2008",,[46]
Alpha Protocol,Obsidian Entertainment,Unreleased,"May 28, 2010","June 1, 2010",,[47]
Altered Beast,Sega,"August 31, 2011","September 21, 2011","September 20, 2011",,[citation needed]
The Amazing Spider-Man,Beenox,Unreleased,"June 29, 2012","June 26, 2012",M,[48]
The Amazing Spider-Man 2,Beenox,Unreleased,"May 2, 2014","April 29, 2014",,[49]
American McGee's Alice,Spicy Horse,Unreleased,Unreleased,"June 14, 2011",,[50]
American Mensa Academy,Silverball Studios,Unreleased,"December 12, 2012","February 5, 2013",,[citation needed]
Amplitude,Harmonix,Unreleased,"April 5, 2016","April 5, 2016",,[citation needed]
AMY,VectorCell,Unreleased,"January 11, 2012","January 17, 2012",,[citation needed]
Anarchy: Rush Hour,Gaijin Entertainment,Unreleased,"May 5, 2010","March 25, 2010",,[citation needed]
Anarchy Reigns,PlatinumGames,"July 5, 2012","January 11, 2013","January 8, 2013",,[51]
Angel Love Online,UserJoy Technology,"July 7, 2011",Unreleased,Unreleased,F2P,[52]
Angel Senki,UserJoy Technology,"July 7, 2011",Unreleased,Unreleased,,[citation needed]
Anna: Extended Edition,Dreampainters,Unreleased,"April 1, 2015","March 31, 2015",,[citation needed]
Anomaly: Warzone Earth,11 bit studios,Unreleased,"August 29, 2012","September 11, 2012",,[citation needed]
Another World: 20th Anniversary Edition,The Digital Lounge,Unreleased,"June 25, 2014","July 8, 2014",,[citation needed]
Another Century's Episode: R,From Software,"August 19, 2010",Unreleased,Unreleased,,[53]
Angry Birds Star Wars,Rovio Entertainment,Unreleased,"November 1, 2013","October 29, 2013",M,[54]
Angry Birds Trilogy,Rovio Entertainment,Unreleased,"September 28, 2013","September 25, 2013",M,[55]
Apache: Air Assault,Gaijin Entertainment,Unreleased,"November 19, 2011","November 16, 2011",,[56]
Apples to Apples,ImaginEngine,Unreleased,Unreleased,"December 20, 2011",,[citation needed]
Aqua Panic!,Eko Software,Unreleased,"April 8, 2010","October 19, 2010",,[citation needed]
Aqua Vita,"London Studio, Playlogic Entertainment",Unreleased,"October 25, 2007","November 20, 2007",E,
Aquanaut's Holiday: Hidden Memories,Irem,"September 25, 2008",Unreleased,Unreleased,,[57]
Aquapazza: Aquaplus Dream Match,Examu,"August 30, 2012",Unreleased,"November 19, 2013",,[58]
Ar Nosurge,Gust Co. Ltd.,"March 6, 2014","September 26, 2014","September 23, 2014",,[59]
Arcana Heart 3,Examu,"January 13, 2011","August 19, 2011","April 19, 2011",,[60]
Arcana Heart 3: Love Max!!!!!,Examu,"May 29, 2014","November 20, 2014","September 23, 2014",,[61]
Arcania: The Complete Tale,Black Forest Games,Unreleased,"July 15, 2013","August 30, 2013",,[citation needed]
Ar tonelico Qoga: Knell of Ar Ciel,Gust Corporation,"January 28, 2010","April 1, 2011","March 15, 2011",,[62]
Arkedo Series – 001 JUMP!,Arkedo Studio,Unreleased,"August 24, 2011","October 16, 2012",,[citation needed]
Arkedo Series – 002 SWAP!,Arkedo Studio,Unreleased,"September 21, 2011","October 16, 2012",,[citation needed]
Arkedo Series – 003 PIXEL!,Arkedo Studio,Unreleased,"September 28, 2011","October 16, 2012",,[citation needed]
Armageddon Riders,Targem Games,Unreleased,"June 2, 2011","June 3, 2011",,[citation needed]
Armored Core 4,From Software,"December 21, 2006","June 22, 2007","March 20, 2007",,[63]
Armored Core: For Answer,From Software,"March 19, 2008","October 31, 2008","September 16, 2008",,[64]
Armored Core V,From Software,"January 26, 2012","March 23, 2012","March 20, 2012",,[65]
Armored Core: Verdict Day,From Software,"September 26, 2013","September 27, 2013","September 24, 2013",,[66]
Army of Two,EA Montreal,"March 19, 2008","March 7, 2008","March 4, 2008",,[67]
Army of Two: The 40th Day,EA Montreal,"March 25, 2010","January 15, 2010","January 12, 2010",,[68]
Army of Two: The Devil's Cartel,Visceral Montreal,"March 28, 2013","March 29, 2013","March 26, 2013",,[69]
Arslan Senki X Musou,Koei Tecmo Games,"February 9, 2016",Unreleased,Unreleased,,[70]
Arthur and the Revenge of Maltazard,Ubisoft,Unreleased,"September 24, 2010",Unreleased,,[71]
Asdivine Hearts,Kemco,"December 13, 2016",Unreleased,"January 7, 2017",,[citation needed]
Ashes Cricket 2009,Transmission Games,Unreleased,"August 6, 2009",Unreleased,,[72]
Ashes Cricket 2013,505 Games,Unreleased,Unreleased,Unreleased,C,
Assassin's Creed,Ubisoft Montreal,"November 29, 2007","November 16, 2007","November 14, 2007",,[73]
Assassin's Creed II,Ubisoft Montreal,"December 3, 2009","November 19, 2009","November 17, 2009",,[74]
Assassin's Creed III,Ubisoft Montreal,Unreleased,"October 31, 2012","October 30, 2012",3D,[75]
Assassin's Creed: Liberation HD,Ubisoft Sofia,"March 27, 2014","January 15, 2014","January 14, 2014",,[citation needed]
Assassin's Creed IV: Black Flag,Ubisoft Montreal,"November 28, 2013","November 1, 2013","October 29, 2013",,[76]
Assassin's Creed: Brotherhood,Ubisoft Montreal,"December 9, 2010","November 19, 2010","November 16, 2010",,[77]
Assassin's Creed: Revelations,Ubisoft Montreal,"December 1, 2011","November 15, 2011","November 15, 2011",3D,[78]
Assassin's Creed Rogue,Ubisoft Sofia,"December 11, 2014","November 13, 2014","November 11, 2014",,[79]
Assault Heroes,Wanako Games,Unreleased,Unreleased,"January 28, 2010",,[citation needed]
Astro Tripper,PomPom Games,"August 19, 2010","December 11, 2008","March 12, 2009",,[80]
Asura's Wrath,CyberConnect2,"February 23, 2012","February 24, 2012","February 21, 2012",,[81]
Atelier Ayesha: The Alchemist of Dusk,Gust Corporation,"June 28, 2012","March 8, 2013","March 5, 2013",,[82]
Atelier Escha & Logy: Alchemists of the Dusk Sky,Gust Corporation,"June 27, 2013","March 11, 2014","March 7, 2014",,[83]
Atelier Meruru: The Apprentice of Arland,Gust Corporation,"June 23, 2011","May 25, 2012","May 29, 2012",,[84]
Atelier Rorona: The Alchemist of Arland,Gust Corporation,"June 25, 2009","October 22, 2010","September 28, 2010",,[85]
Atelier Rorona Plus: The Alchemist of Arland,Gust Corporation,"November 21, 2013","June 20, 2014","June 24, 2014",,[86][87]
Atelier Shallie: Alchemists of the Dusk Sea,Gust Corporation,"July 17, 2014","March 13, 2015","March 10, 2015",,[88]
Atelier Sophie: The Alchemist of the Mysterious Book,Gust Corporation,"November 19, 2015",Unreleased,Unreleased,,[citation needed]
Atelier Totori: The Adventurer of Arland,Gust Corporation,"June 24, 2010","September 27, 2011","September 30, 2011",,[89]
Atomic Ninjas,Grip Digital,Unreleased,"October 2, 2013","October 8, 2013",,[citation needed]
Attack on Titan,Koei Tecmo Games,"February 18, 2016","August 26, 2016","August 30, 2016",,[90]
Auditorium HD,Cipher Prime / Empty Clip Studios,Unreleased,Unreleased,"November 23, 2010",3D  M,[91]
Avatar: The Game,Ubisoft Montreal,Unreleased,"December 4, 2009","December 1, 2009",3D,[92]
The Avengers,Blue Tongue Entertainment,Unreleased,Unreleased,Unreleased,C,[93]
The Awakened Fate Ultimatum,Nippon Ichi Software,"September 25, 2014","March 27, 2015","March 25, 2015",,[citation needed]
Awesomenauts,Ronimo Games,Unreleased,"May 2, 2012","May 1, 2012",,[citation needed]
Babel Rising,Mondo Productions,Unreleased,"June 13, 2012","June 12, 2012",
Back to Bed,Bedtime Digital Games,"February 9, 2017","August 25, 2015","August 25, 2015",,
Back to the Future: The Game,Telltale Games,Unreleased,"May 4, 2012","October 25, 2011",,[94]
Backbreaker,NaturalMotion,Unreleased,"June 25, 2010","June 1, 2010",,[95]
Backbreaker: Vengeance,NaturalMotion,Unreleased,"August 24, 2011",Unreleased,,[96]
Backgammon Blitz,VooFoo Studios,Unreleased,"January 29, 2014","April 15, 2014",,
Badland: Game of the Year Edition,Frogmind,"June 7, 2017","May 28, 2015","May 26, 2015",,
Baja: Edge of Control,2XL Games,Unreleased,"September 26, 2008","September 22, 2008",,[97]
Bakugan Battle Brawlers,Now Production,Unreleased,"October 23, 2009","October 20, 2009",,[98]
Bakugan: Defenders of the Core,Now Production,Unreleased,"October 29, 2010","October 26, 2010",,[99]
BandFuse: Rock Legends,Realta Entertainment Group,"December 19, 2013",Unreleased,"November 19, 2013",,[100]
Band Hero,Neversoft,Unreleased,"November 6, 2009","November 3, 2009",,[101]
Bang!,SpinVector,Unreleased,"October 16, 2015",Unreleased,,
Bang Bang Racing,Digital Reality,Unreleased,"June 13, 2012","June 5, 2012",,
Barbie & Her Sisters: Puppy Rescue,Torus Games,Unreleased,"November 20, 2015","December 17, 2015",,[102]
Barnanza,Straight Right,Unreleased,"November 16, 2016",Unreleased,,
Batman: Arkham Asylum,Rocksteady Studios,"January 14, 2010","August 28, 2009","August 25, 2009",,[103]
Batman: Arkham City,Rocksteady Studios,"November 23, 2011","October 21, 2011","October 18, 2011",3D,[104]
Batman: Arkham Origins,WB Games Montréal,"December 5, 2013","October 25, 2013","October 25, 2013",,[105]
Batman: Arkham Origins Blackgate – Deluxe Edition,Armature Studio,Unreleased,"April 2, 2014","April 1, 2014",,
Batman: The Dark Knight,Pandemic Studios,Unreleased,Unreleased,Unreleased,C,[106][107]
Batman: The Telltale Series,Telltale Games,"September 13, 2016","September 13, 2016","September 13, 2016",,[108]
Battle Fantasia,Arc System Works,"May 29, 2008","March 6, 2009","December 22, 2009",,[109]
Battle of Tiles EX,Bimboosoft,"January 24, 2013","October 9, 2013","October 8, 2013",,
Battle Tanks,Gameloft,"April 22, 2010","August 27, 2009","September 3, 2009",,
Battle vs. Chess,Targem Games / Zuxxez Entertainment,Unreleased,"May 11, 2011",Unreleased,,[110]
Battle: Los Angeles,Live Action Studios,Unreleased,"April 20, 2011","March 22, 2011",,
Battlefield 1943,EA DICE,"July 16, 2009","July 9, 2009","July 9, 2009",,[111]
Battlefield 3,EA Digital Illusions CE,"November 2, 2011","October 28, 2011","October 25, 2011",,[112]
Battlefield 4,EA Digital Illusions CE,"October 31, 2013","November 1, 2013","October 29, 2013",,[113]
Battlefield Hardline,EA Digital Illusions CE,"March 29, 2015","March 20, 2015","March 17, 2015",,[114]
Battlefield: Bad Company,EA Digital Illusions CE,"August 28, 2008","June 27, 2008","June 23, 2008",,[115]
Battlefield: Bad Company 2,EA Digital Illusions CE,"March 11, 2010","March 5, 2010","March 2, 2010",,[116]
Battle Princess of Arcadias,ApolloSoft,"June 17, 2014",Unreleased,Unreleased,,[117]
Battleship,Double Helix Games,Unreleased,"April 20, 2012","May 15, 2012",,[118]
Bayonetta,PlatinumGames,"October 29, 2009","January 8, 2010","January 5, 2010",,[119]
Beat Hazard Ultra,Cold Beam Games,Unreleased,"October 19, 2011","October 18, 2011",,
Beat Sketcher,Japan Studio,"October 21, 2010",Unreleased,"December 1, 2010",M,[120]
Beautiful Katamari,Bandai Namco Entertainment,Unreleased,Unreleased,Unreleased,C,[121]
The Beatles: Rock Band,Harmonix Music Systems,Unreleased,"September 9, 2009","September 9, 2009",,[122]
Beer Pong!,JV Games,Unreleased,Unreleased,"October 22, 2013",,
Beijing 2008,Eurocom,"July 31, 2008","June 27, 2008","July 8, 2008",,[123]
Bejeweled 2,PopCap Games,Unreleased,"May 14, 2009","January 29, 2009",,[124]
Bejeweled 3,PopCap Games,Unreleased,"April 27, 2012","April 27, 2012",,[125]
Bellator: MMA Onslaught,Kung Fu Factory,Unreleased,Unreleased,"July 3, 2012",,
Ben 10: Galactic Racing,D3 Publisher,Unreleased,"November 25, 2011","November 25, 2011",,[126]
Ben 10: Omniverse,D3 Publisher,Unreleased,"November 13, 2012","November 13, 2012",,[127]
Ben 10: Omniverse 2,D3 Publisher,Unreleased,"November 22, 2013","November 22, 2013",,[128]
Ben 10 Alien Force: Vilgax Attacks,D3 Publisher,Unreleased,Unreleased,Unreleased,C,
Ben 10 Ultimate Alien: Cosmic Destruction,D3 Publisher,Unreleased,"October 29, 2010","October 29, 2010",,[129]
Bentley's Hackpack,Sanzaru Games,Unreleased,"February 6, 2013","February 5, 2013",,
Beowulf: The Game,Ubisoft Shanghai,Unreleased,"November 23, 2007","November 13, 2007",,[130]
"Best of Arcade Games (Air Hockey, Brick Breaker, Bubble Buster, Tetraminos)",Bigben Interactive,Unreleased,"January 21, 2015","January 20, 2015",,
